Section I - Assets,Foreign Currency,Total Currency,DropdownValue
(e) Intangibles,(e) Intangibles,(e) Intangibles,AW
(i) with definite lives,0,318,AW
(ii) with indefinite lives,0,0,AW
(f) Deferred tax assets,0,2195,AW
(g) Derivatives related amounts,0,137,AW
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,AW
(i) Interests in associates and joint ventures,0,0,AW
(j) Other,0,42649,AW
Total  Assets,0,2206428,AW
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,FZ
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",2192,37542,FZ
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",20665,100686,FZ
2. Securities,2. Securities,2. Securities,FZ
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable",FZ
(i) Treasury Bills and other short term paper,0,191687,FZ
(ii)Other securities,0,258688,FZ
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable",FZ
(i) Debt,1080,90986,FZ
(ii) Shares,0,7006,FZ
3. Loans,3. Loans,3. Loans,FZ
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses",FZ
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,FZ
(ii) To regulated financial institutions,0,18958,FZ
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,24716,FZ
(iv) To foreign governments,0,0,FZ
(v) Lease receivables,0,0,FZ
(vi) To individuals for non-business purposes,0,674056,FZ
Of (A) Secured by residential property,0,81864,FZ
which: (B) Secured by other than residential property,0,441514,FZ
(vii) Reverse repurchase agreements,0,0,FZ
(viii) To individuals and others for business purposes,5,465876,FZ
Of (A) Secured by residential property,0,0,FZ
which: (B) Secured by other than residential property,5,438870,FZ
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses",FZ
(i) Residential,(i) Residential,(i) Residential,FZ
(A) Insured,0,942588,FZ
(B) Of which: NHA MBS pooled and unsold,0,156247,FZ
(C) Uninsured,0,1668552,FZ
(D) Reverse Mortgages,0,0,FZ
(ii) Non-residential,0,387283,FZ
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,FZ
"5. Land, buildings, and equipment, less accumulated depreciation",0,31985,FZ
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable",FZ
(a) Insurance-related assets,0,8156,FZ
(b) Accrued interest,17,280503,FZ
(c) Prepaid and deferred charges,0,15997,FZ
(d) Goodwill,0,2117,FZ
(e) Intangibles,(e) Intangibles,(e) Intangibles,FZ
(i) with definite lives,0,99013,FZ
(ii) with indefinite lives,0,0,FZ
(f) Deferred tax assets,0,9089,FZ
(g) Derivatives related amounts,0,64366,FZ
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,FZ
(i) Interests in associates and joint ventures,0,0,FZ
(j) Other,0,25247,FZ
Total  Assets,23959,5405097,FZ
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,AA
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",4827451,7230261,AA
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",45807207,47854991,AA
2. Securities,2. Securities,2. Securities,AA
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable",AA
(i) Treasury Bills and other short term paper,5654582,20149331,AA
(ii)Other securities,2447164,60839583,AA
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable",AA
(i) Debt,96851053,102225106,AA
(ii) Shares,33077246,62722802,AA
3. Loans,3. Loans,3. Loans,AA
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses",AA
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,AA
(ii) To regulated financial institutions,2476203,2818946,AA
"(iii) To Canadian federal government, provinces, municipal or school corporations",8622,1592685,AA
(iv) To foreign governments,870225,870225,AA
(v) Lease receivables,163860,163860,AA
(vi) To individuals for non-business purposes,2234365,64574303,AA
Of (A) Secured by residential property,51595,19427478,AA
which: (B) Secured by other than residential property,645322,10603694,AA
(vii) Reverse repurchase agreements,68880873,97124397,AA
(viii) To individuals and others for business purposes,112654942,195982826,AA
Of (A) Secured by residential property,5303730,7484605,AA
which: (B) Secured by other than residential property,19559243,34398560,AA
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses",AA
(i) Residential,(i) Residential,(i) Residential,AA
(A) Insured,0,46500097,AA
(B) Of which: NHA MBS pooled and unsold,0,20985856,AA
(C) Uninsured,5636431,229286437,AA
(D) Reverse Mortgages,0,0,AA
(ii) Non-residential,231108,5097206,AA
"4. Customers' liability under acceptances, less allowance for expected credit losses",7020,849505,AA
"5. Land, buildings, and equipment, less accumulated depreciation",738456,3240018,AA
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable",AA
(a) Insurance-related assets,0,33017,AA
(b) Accrued interest,1854408,3988397,AA
(c) Prepaid and deferred charges,141172,560064,AA
(d) Goodwill,4311590,5366327,AA
(e) Intangibles,(e) Intangibles,(e) Intangibles,AA
(i) with definite lives,252783,2631280,AA
(ii) with indefinite lives,0,116000,AA
(f) Deferred tax assets,443443,728857,AA
(g) Derivatives related amounts,17678796,27243519,AA
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,AA
(i) Interests in associates and joint ventures,67760,692822,AA
(j) Other,12622052,21267702,AA
Total  Assets,419938812,1011750564,AA
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,AR
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",,1578,AR
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",686,320179,AR
2. Securities,2. Securities,2. Securities,AR
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable",AR
(i) Treasury Bills and other short term paper,0,19775,AR
(ii)Other securities,0,159424,AR
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable",AR
(i) Debt,0,0,AR
(ii) Shares,0,0,AR
3. Loans,3. Loans,3. Loans,AR
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses",AR
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,AR
(ii) To regulated financial institutions,0,0,AR
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,AR
(iv) To foreign governments,0,0,AR
(v) Lease receivables,0,0,AR
(vi) To individuals for non-business purposes,0,6492568,AR
Of (A) Secured by residential property,0,0,AR
which: (B) Secured by other than residential property,0,0,AR
(vii) Reverse repurchase agreements,0,0,AR
(viii) To individuals and others for business purposes,0,0,AR
Of (A) Secured by residential property,0,0,AR
which: (B) Secured by other than residential property,0,0,AR
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses",AR
(i) Residential,(i) Residential,(i) Residential,AR
(A) Insured,0,0,AR
(B) Of which: NHA MBS pooled and unsold,0,0,AR
(C) Uninsured,0,0,AR
(D) Reverse Mortgages,0,0,AR
(ii) Non-residential,0,0,AR
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,AR
"5. Land, buildings, and equipment, less accumulated depreciation",0,19241,AR
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable",AR
(a) Insurance-related assets,0,0,AR
(b) Accrued interest,0,1685,AR
(c) Prepaid and deferred charges,0,77126,AR
(d) Goodwill,0,0,AR
(e) Intangibles,(e) Intangibles,(e) Intangibles,AR
(i) with definite lives,0,6833,AR
(ii) with indefinite lives,0,0,AR
(f) Deferred tax assets,0,41431,AR
(g) Derivatives related amounts,0,61756,AR
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,AR
(i) Interests in associates and joint ventures,0,0,AR
(j) Other,0,47709,AR
Total  Assets,686,7249305,AR
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,AO
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",921,6773,AO
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",59992,130906,AO
2. Securities,2. Securities,2. Securities,AO
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable",AO
(i) Treasury Bills and other short term paper,236764,2528128,AO
(ii)Other securities,25464,902650,AO
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable",AO
(i) Debt,249389,286506,AO
(ii) Shares,7753,16708,AO
3. Loans,3. Loans,3. Loans,AO
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses",AO
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,AO
(ii) To regulated financial institutions,44986,724240,AO
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,AO
(iv) To foreign governments,0,0,AO
(v) Lease receivables,688,3383833,AO
(vi) To individuals for non-business purposes,0,485654,AO
Of (A) Secured by residential property,0,354926,AO
which: (B) Secured by other than residential property,0,130728,AO
(vii) Reverse repurchase agreements,0,0,AO
(viii) To individuals and others for business purposes,780704,10749591,AO
Of (A) Secured by residential property,0,120618,AO
which: (B) Secured by other than residential property,780704,10628973,AO
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses",AO
(i) Residential,(i) Residential,(i) Residential,AO
(A) Insured,0,1442792,AO
(B) Of which: NHA MBS pooled and unsold,0,81341,AO
(C) Uninsured,0,7908879,AO
(D) Reverse Mortgages,0,0,AO
(ii) Non-residential,0,12502418,AO
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,AO
"5. Land, buildings, and equipment, less accumulated depreciation",0,147305,AO
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable",AO
(a) Insurance-related assets,0,0,AO
(b) Accrued interest,6042,152668,AO
(c) Prepaid and deferred charges,0,18160,AO
(d) Goodwill,0,138701,AO
(e) Intangibles,(e) Intangibles,(e) Intangibles,AO
(i) with definite lives,0,235585,AO
(ii) with indefinite lives,0,5735,AO
(f) Deferred tax assets,0,31241,AO
(g) Derivatives related amounts,1544,86091,AO
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,AO
(i) Interests in associates and joint ventures,0,0,AO
(j) Other,516,118962,AO
Total  Assets,1414763,42003526,AO
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,BG
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",4877,208215,BG
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",0,190000,BG
2. Securities,2. Securities,2. Securities,BG
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable",BG
(i) Treasury Bills and other short term paper,98530,662707,BG
(ii)Other securities,46393,242363,BG
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable",BG
(i) Debt,8872,1475972,BG
(ii) Shares,0,2285,BG
3. Loans,3. Loans,3. Loans,BG
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses",BG
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,BG
(ii) To regulated financial institutions,0,0,BG
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,BG
(iv) To foreign governments,0,0,BG
(v) Lease receivables,17290,858492,BG
(vi) To individuals for non-business purposes,1,1128966,BG
Of (A) Secured by residential property,0,784765,BG
which: (B) Secured by other than residential property,0,186891,BG
(vii) Reverse repurchase agreements,0,106898,BG
(viii) To individuals and others for business purposes,65600,988876,BG
Of (A) Secured by residential property,0,8517,BG
which: (B) Secured by other than residential property,37544,915665,BG
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses",BG
(i) Residential,(i) Residential,(i) Residential,BG
(A) Insured,0,1471882,BG
(B) Of which: NHA MBS pooled and unsold,0,140062,BG
(C) Uninsured,0,9740903,BG
(D) Reverse Mortgages,0,0,BG
(ii) Non-residential,0,4350270,BG
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,BG
"5. Land, buildings, and equipment, less accumulated depreciation",0,56708,BG
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable",BG
(a) Insurance-related assets,0,0,BG
(b) Accrued interest,838,55299,BG
(c) Prepaid and deferred charges,105,73588,BG
(d) Goodwill,0,15205,BG
(e) Intangibles,(e) Intangibles,(e) Intangibles,BG
(i) with definite lives,0,97328,BG
(ii) with indefinite lives,0,0,BG
(f) Deferred tax assets,0,16800,BG
(g) Derivatives related amounts,0,3177,BG
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,BG
(i) Interests in associates and joint ventures,0,0,BG
(j) Other,0,48880,BG
Total  Assets,242506,21794814,BG
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,BD
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",0,0,BD
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",13917,1339187,BD
2. Securities,2. Securities,2. Securities,BD
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable",BD
(i) Treasury Bills and other short term paper,0,246951,BD
(ii)Other securities,0,49049,BD
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable",BD
(i) Debt,0,62860,BD
(ii) Shares,20072,20472,BD
3. Loans,3. Loans,3. Loans,BD
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses",BD
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,BD
(ii) To regulated financial institutions,2572,14981,BD
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,BD
(iv) To foreign governments,0,0,BD
(v) Lease receivables,0,0,BD
(vi) To individuals for non-business purposes,0,886080,BD
Of (A) Secured by residential property,0,450,BD
which: (B) Secured by other than residential property,0,0,BD
(vii) Reverse repurchase agreements,0,0,BD
(viii) To individuals and others for business purposes,0,132713,BD
Of (A) Secured by residential property,0,0,BD
which: (B) Secured by other than residential property,0,132713,BD
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses",BD
(i) Residential,(i) Residential,(i) Residential,BD
(A) Insured,0,2746996,BD
(B) Of which: NHA MBS pooled and unsold,0,230692,BD
(C) Uninsured,0,3210864,BD
(D) Reverse Mortgages,0,416884,BD
(ii) Non-residential,0,93231,BD
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,BD
"5. Land, buildings, and equipment, less accumulated depreciation",0,3166,BD
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable",BD
(a) Insurance-related assets,0,0,BD
(b) Accrued interest,0,100554,BD
(c) Prepaid and deferred charges,0,12051,BD
(d) Goodwill,0,19248,BD
(e) Intangibles,(e) Intangibles,(e) Intangibles,BD
(i) with definite lives,0,896,BD
(ii) with indefinite lives,0,0,BD
(f) Deferred tax assets,0,9530,BD
(g) Derivatives related amounts,0,15249,BD
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,BD
(i) Interests in associates and joint ventures,0,0,BD
(j) Other,0,36210,BD
Total  Assets,36561,9417172,BD
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,FV
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",,0,FV
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",0,74,FV
2. Securities,2. Securities,2. Securities,FV
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable",FV
(i) Treasury Bills and other short term paper,0,0,FV
(ii)Other securities,0,1763,FV
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable",FV
(i) Debt,0,0,FV
(ii) Shares,0,0,FV
3. Loans,3. Loans,3. Loans,FV
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses",FV
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,FV
(ii) To regulated financial institutions,0,0,FV
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,FV
(iv) To foreign governments,0,0,FV
(v) Lease receivables,0,0,FV
(vi) To individuals for non-business purposes,0,0,FV
Of (A) Secured by residential property,0,0,FV
which: (B) Secured by other than residential property,0,0,FV
(vii) Reverse repurchase agreements,0,0,FV
(viii) To individuals and others for business purposes,0,1450,FV
Of (A) Secured by residential property,0,0,FV
which: (B) Secured by other than residential property,0,0,FV
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses",FV
(i) Residential,(i) Residential,(i) Residential,FV
(A) Insured,0,0,FV
(B) Of which: NHA MBS pooled and unsold,0,0,FV
(C) Uninsured,0,0,FV
(D) Reverse Mortgages,0,0,FV
(ii) Non-residential,0,0,FV
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,FV
"5. Land, buildings, and equipment, less accumulated depreciation",0,0,FV
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable",FV
(a) Insurance-related assets,0,0,FV
(b) Accrued interest,0,0,FV
(c) Prepaid and deferred charges,0,0,FV
(d) Goodwill,0,0,FV
(e) Intangibles,(e) Intangibles,(e) Intangibles,FV
(i) with definite lives,0,0,FV
(ii) with indefinite lives,0,0,FV
(f) Deferred tax assets,0,0,FV
(g) Derivatives related amounts,0,0,FV
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,FV
(i) Interests in associates and joint ventures,0,0,FV
(j) Other,0,0,FV
Total  Assets,0,3287,FV
Gold coin and gold and silver bullion,0,0,AM
Other coin,0,0,AM
Bank Notes,0,0,AM
Deposits with Bank of Canada,0,0,AM
"Deposits with regulated financial institutions, less allowance for impairment",0,39,AM
Cheques and other items in transit (net),0,0,AM
Securities issued or guaranteed by Canada,Securities issued or guaranteed by Canada,Securities issued or guaranteed by Canada,AM
Securities issued by Canada,Securities issued by Canada,Securities issued by Canada,AM
Treasury Bills,0,344,AM
Other securities maturing within 3 years,0,4589,AM
Other securities,0,0,AM
Securities guaranteed by Canada,Securities guaranteed by Canada,Securities guaranteed by Canada,AM
Securities maturing within 3 years,0,0,AM
Other securities,0,0,AM
Shares,0,0,AM
Securities issued or guaranteed by a Canadian province,0,0,AM
Securities issued or guaranteed by a Canadian municipal or school corporation,0,0,AM
"Other securities, less allowance for impairment","Other securities, less allowance for impairment","Other securities, less allowance for impairment",AM
Debt,0,1701,AM
Shares,0,0,AM
"Non-Mortgage Loans, less allowance for impairment","Non-Mortgage Loans, less allowance for impairment","Non-Mortgage Loans, less allowance for impairment",AM
"Call and other short loans to investment dealers and brokers, secured",0,0,AM
To regulated financial institutions,0,0,AM
"To Canadian federal government, provinces, municipal or school corporations",0,0,AM
To foreign governments,0,0,AM
Lease receivables,0,0,AM
To individuals for non-business purposes,0,0,AM
Reverse repurchase agreements,0,0,AM
To individuals and others for business purposes,0,0,AM
"Mortgages, less allowance for impairment","Mortgages, less allowance for impairment","Mortgages, less allowance for impairment",AM
Residential,Residential,Residential,AM
Insured,0,0,AM
Uninsured,0,0,AM
Non-residential,0,0,AM
"Customers' liability under acceptances, less allowances for impairment",0,0,AM
"Land, buildings, and equipment, less accumulated depreciation",0,0,AM
Insurance-related assets,Insurance-related assets,Insurance-related assets,AM
Policy loans,0,0,AM
Premiums outstanding,0,0,AM
Due from other insurers,0,0,AM
Other,0,0,AM
Other assets,Other assets,Other assets,AM
Accrued interest,0,0,AM
Prepaid and deferred charges,0,0,AM
Goodwill and other intangibles,0,0,AM
Deferred tax debits,0,0,AM
Other,0,1567,AM
Total assets,0,8240,AM
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,FE
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",0,0,FE
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",159,13494,FE
2. Securities,2. Securities,2. Securities,FE
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable",FE
(i) Treasury Bills and other short term paper,0,0,FE
(ii)Other securities,0,47061,FE
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable",FE
(i) Debt,0,2835,FE
(ii) Shares,0,97,FE
3. Loans,3. Loans,3. Loans,FE
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses",FE
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,FE
(ii) To regulated financial institutions,0,0,FE
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,FE
(iv) To foreign governments,0,0,FE
(v) Lease receivables,0,0,FE
(vi) To individuals for non-business purposes,0,10856,FE
Of (A) Secured by residential property,0,9219,FE
which: (B) Secured by other than residential property,0,219,FE
(vii) Reverse repurchase agreements,0,0,FE
(viii) To individuals and others for business purposes,0,798,FE
Of (A) Secured by residential property,0,0,FE
which: (B) Secured by other than residential property,0,0,FE
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses",FE
(i) Residential,(i) Residential,(i) Residential,FE
(A) Insured,0,872526,FE
(B) Of which: NHA MBS pooled and unsold,0,355363,FE
(C) Uninsured,0,104342,FE
(D) Reverse Mortgages,0,0,FE
(ii) Non-residential,0,28294,FE
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,FE
"5. Land, buildings, and equipment, less accumulated depreciation",0,0,FE
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable",FE
(a) Insurance-related assets,0,0,FE
(b) Accrued interest,0,2174,FE
(c) Prepaid and deferred charges,0,15227,FE
(d) Goodwill,0,0,FE
(e) Intangibles,(e) Intangibles,(e) Intangibles,FE
(i) with definite lives,0,952,FE
(ii) with indefinite lives,0,0,FE
(f) Deferred tax assets,0,0,FE
(g) Derivatives related amounts,0,4891,FE
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,FE
(i) Interests in associates and joint ventures,0,0,FE
(j) Other,0,2022,FE
Total  Assets,159,1105569,FE
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,AY
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",,0,AY
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",0,80015,AY
2. Securities,2. Securities,2. Securities,AY
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable",AY
(i) Treasury Bills and other short term paper,0,0,AY
(ii)Other securities,0,0,AY
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable",AY
(i) Debt,0,0,AY
(ii) Shares,0,0,AY
3. Loans,3. Loans,3. Loans,AY
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses",AY
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,AY
(ii) To regulated financial institutions,0,0,AY
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,AY
(iv) To foreign governments,0,0,AY
(v) Lease receivables,0,0,AY
(vi) To individuals for non-business purposes,0,0,AY
Of (A) Secured by residential property,0,0,AY
which: (B) Secured by other than residential property,0,0,AY
(vii) Reverse repurchase agreements,0,0,AY
(viii) To individuals and others for business purposes,0,0,AY
Of (A) Secured by residential property,0,0,AY
which: (B) Secured by other than residential property,0,0,AY
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses",AY
(i) Residential,(i) Residential,(i) Residential,AY
(A) Insured,0,0,AY
